no,name,kor,eng,math,total,avg,rank,c_date
39,Munmro,85,62,68,215,71.6666666667,0,2024-04-08
40,Idelle,73,73,100,246,82,0,2024-04-04
41,Hyman,62,55,94,211,70.3333333333,0,2024-04-03
42,Sophia,53,77,90,220,73.3333333333,0,2024-04-07
43,Tommy,97,73,84,254,84.6666666667,0,2024-04-03
44,Piper,51,93,91,235,78.3333333333,0,2024-04-07
45,Chancey,87,62,86,235,78.3333333333,0,2024-04-02
46,Shel,72,51,73,196,65.3333333333,0,2024-04-04
47,Jess,75,89,98,262,87.3333333333,0,2024-04-07
48,Francyne,62,58,54,174,58,0,2024-04-01
49,Sven,73,52,89,214,71.3333333333,0,2024-04-01
50,Johanna,57,99,72,228,76,0,2024-04-03
51,Reggi,94,78,60,232,77.3333333333,0,2024-04-03
52,Joni,59,95,55,209,69.6666666667,0,2024-04-09
53,Elicia,56,56,86,198,66,0,2024-04-02
54,Jamie,73,72,60,205,68.3333333333,0,2024-04-03
55,Sile,61,95,82,238,79.3333333333,0,2024-04-05
56,Carrol,55,73,69,197,65.6666666667,0,2024-04-04
57,Tally,65,62,80,207,69,0,2024-04-02
58,Cristal,59,87,100,246,82,0,2024-04-05
59,Brewster,78,64,95,237,79,0,2024-04-07
60,Tabina,90,69,62,221,73.6666666667,0,2024-04-04
61,Corette,84,95,67,246,82,0,2024-04-03
62,Bale,60,52,97,209,69.6666666667,0,2024-04-01
63,Alec,88,73,62,223,74.3333333333,0,2024-04-01
64,Hestia,53,61,71,185,61.6666666667,0,2024-04-03
65,Bartholomeo,76,91,75,242,80.6666666667,0,2024-04-05
66,Audrye,92,74,77,243,81,0,2024-04-02
67,Val,97,84,88,269,89.6666666667,0,2024-04-01
68,Vasili,84,55,100,239,79.6666666667,0,2024-04-05
69,Rae,100,50,82,232,77.3333333333,0,2024-04-01
70,Morgun,72,96,53,221,73.6666666667,0,2024-04-02
71,Uta,52,92,70,214,71.3333333333,0,2024-04-05
72,Bengt,99,94,98,291,97,0,2024-04-06
73,Faber,60,69,50,179,59.6666666667,0,2024-04-08
74,Carlin,73,83,64,220,73.3333333333,0,2024-04-02
75,Valerie,74,93,50,217,72.3333333333,0,2024-04-03
76,Farrell,86,52,73,211,70.3333333333,0,2024-04-08
77,Ermin,86,55,54,195,65,0,2024-04-04
78,Doreen,85,60,91,236,78.6666666667,0,2024-04-03
79,Donaugh,64,87,55,206,68.6666666667,0,2024-04-04
80,Maud,60,97,76,233,77.6666666667,0,2024-04-04
81,Gran,95,62,55,212,70.6666666667,0,2024-04-02
82,Ariel,65,68,97,230,76.6666666667,0,2024-04-06
83,Herbie,53,90,79,222,74,0,2024-04-01
84,Nealson,97,76,61,234,78,0,2024-04-05
85,Leonidas,69,59,96,224,74.6666666667,0,2024-04-04
86,Adam,83,53,85,221,73.6666666667,0,2024-04-06
87,Horatio,57,91,51,199,66.3333333333,0,2024-04-05
88,Blake,92,96,69,257,85.6666666667,0,2024-04-08
89,Sydel,54,72,50,176,58.6666666667,0,2024-04-05
90,Pedro,67,50,94,211,70.3333333333,0,2024-04-02
91,Denis,93,83,84,260,86.6666666667,0,2024-04-01
92,Burch,60,63,64,187,62.3333333333,0,2024-04-04
93,Gerome,77,55,81,213,71,0,2024-04-06
94,Corrinne,91,67,93,251,83.6666666667,0,2024-04-04
95,Madelon,76,83,64,223,74.3333333333,0,2024-04-08
96,Noemi,100,73,97,270,90,0,2024-04-01
97,Karilynn,91,96,57,244,81.3333333333,0,2024-04-08
98,Kort,93,64,67,224,74.6666666667,0,2024-04-09
99,Karel,73,53,76,202,67.3333333333,0,2024-04-02
100,Lou,53,92,64,209,69.6666666667,0,2024-04-06
101,Courtenay,50,72,91,213,71,0,2024-04-07
102,Logan,76,100,88,264,88,0,2024-04-04
103,Avrom,67,73,66,206,68.6666666667,0,2024-04-02
104,Julita,81,52,84,217,72.3333333333,0,2024-04-07
105,Kennett,80,94,63,237,79,0,2024-04-05
106,Paolo,89,91,62,242,80.6666666667,0,2024-04-09
107,Kellyann,69,68,89,226,75.3333333333,0,2024-04-09
108,Welsh,60,86,64,210,70,0,2024-04-03
109,Fernanda,60,94,61,215,71.6666666667,0,2024-04-06
110,Fitzgerald,90,75,52,217,72.3333333333,0,2024-04-09
111,Gladys,91,52,55,198,66,0,2024-04-01
112,Greta,58,60,90,208,69.3333333333,0,2024-04-09
113,Larisa,63,66,89,218,72.6666666667,0,2024-04-02
114,Daniel,76,100,53,229,76.3333333333,0,2024-04-05
115,Mariellen,73,81,62,216,72,0,2024-04-01
116,Dory,50,92,61,203,67.6666666667,0,2024-04-09
117,Teresa,55,91,66,212,70.6666666667,0,2024-04-09
118,Sylas,60,65,91,216,72,0,2024-04-07
119,Eileen,78,82,67,227,75.6666666667,0,2024-04-07
120,Meaghan,95,92,84,271,90.3333333333,0,2024-04-08
121,Bryn,58,93,72,223,74.3333333333,0,2024-04-03
122,Katalin,73,96,91,260,86.6666666667,0,2024-04-09
123,Ashla,96,51,60,207,69,0,2024-04-02
124,Ferd,70,73,93,236,78.6666666667,0,2024-04-03
125,Debby,59,95,68,222,74,0,2024-04-09
126,Alic,91,57,75,223,74.3333333333,0,2024-04-01
127,Brendon,95,98,93,286,95.3333333333,0,2024-04-01
128,Dunstan,89,84,73,246,82,0,2024-04-04
129,Batholomew,68,70,82,220,73.3333333333,0,2024-04-07
130,Philly,89,66,52,207,69,0,2024-04-02
131,Emlyn,65,63,100,228,76,0,2024-04-06
132,Horatio,73,56,51,180,60,0,2024-04-01
133,Rene,100,52,98,250,83.3333333333,0,2024-04-07
134,Cilka,70,50,51,171,57,0,2024-04-09
135,Dorri,66,83,76,225,75,0,2024-04-03
136,Ari,50,68,63,181,60.3333333333,0,2024-04-03
137,Deane,81,87,59,227,75.6666666667,0,2024-04-02
138,Ada,87,54,58,199,66.3333333333,0,2024-04-07
139,Donn,84,57,55,196,65.3333333333,0,2024-04-09
140,Laraine,89,51,88,228,76,0,2024-04-05
141,Crin,76,50,77,203,67.6666666667,0,2024-04-06
142,Merry,55,56,64,175,58.3333333333,0,2024-04-08
143,Tabby,58,86,59,203,67.6666666667,0,2024-04-08
144,Astrid,89,83,98,270,90,0,2024-04-06
145,Mead,76,75,97,248,82.6666666667,0,2024-04-02
146,Stanfield,76,63,87,226,75.3333333333,0,2024-04-01
147,Rowan,89,61,64,214,71.3333333333,0,2024-04-08
148,Shirlene,50,86,61,197,65.6666666667,0,2024-04-05
149,Phip,67,64,70,201,67,0,2024-04-08
150,Gonzalo,54,92,94,240,80,0,2024-04-08
151,Way,84,74,97,255,85,0,2024-04-08
152,Beniamino,61,53,97,211,70.3333333333,0,2024-04-08
153,Livvyy,52,78,72,202,67.3333333333,0,2024-04-05
154,Hadria,69,78,79,226,75.3333333333,0,2024-04-04
155,Vanessa,96,71,97,264,88,0,2024-04-01
156,Christina,92,63,67,222,74,0,2024-04-03
157,Eulalie,51,94,90,235,78.3333333333,0,2024-04-09
158,Aimil,72,57,74,203,67.6666666667,0,2024-04-04
159,Sherwynd,58,92,69,219,73,0,2024-04-09
160,Cherey,53,94,55,202,67.3333333333,0,2024-04-03
161,Fernando,92,90,76,258,86,0,2024-04-06
162,Madelon,88,73,51,212,70.6666666667,0,2024-04-03
163,Felix,70,63,77,210,70,0,2024-04-09
164,Alix,64,62,96,222,74,0,2024-04-06
165,Devinne,70,78,73,221,73.6666666667,0,2024-04-08
166,Darrell,53,64,97,214,71.3333333333,0,2024-04-01
167,Dorothy,60,76,67,203,67.6666666667,0,2024-04-04
168,Evania,92,71,99,262,87.3333333333,0,2024-04-02
169,Katrine,95,80,93,268,89.3333333333,0,2024-04-02
170,Rosette,67,83,88,238,79.3333333333,0,2024-04-03
171,Ailina,99,69,60,228,76,0,2024-04-05
172,Lacy,58,60,87,205,68.3333333333,0,2024-04-04
173,Padriac,63,65,78,206,68.6666666667,0,2024-04-08
174,Hazel,98,90,84,272,90.6666666667,0,2024-04-07
175,Tawsha,71,66,66,203,67.6666666667,0,2024-04-04
176,Marisa,90,88,79,257,85.6666666667,0,2024-04-04
177,Lisette,93,85,70,248,82.6666666667,0,2024-04-06
178,Hillie,95,52,85,232,77.3333333333,0,2024-04-04
179,Timi,51,92,72,215,71.6666666667,0,2024-04-01
180,Kala,81,55,68,204,68,0,2024-04-01
181,Magdalena,50,91,63,204,68,0,2024-04-06
182,Glad,68,91,81,240,80,0,2024-04-07
183,Parry,84,100,85,269,89.6666666667,0,2024-04-06
184,Sherye,58,68,54,180,60,0,2024-04-09
185,Felicle,71,56,72,199,66.3333333333,0,2024-04-09
186,Amie,84,94,80,258,86,0,2024-04-09
187,Pierre,72,83,63,218,72.6666666667,0,2024-04-03
188,Margarita,51,100,62,213,71,0,2024-04-01
189,Carlos,86,91,99,276,92,0,2024-04-03
190,Bambie,68,99,96,263,87.6666666667,0,2024-04-09
191,Sloane,83,57,100,240,80,0,2024-04-04
192,Erna,52,50,89,191,63.6666666667,0,2024-04-09
193,Robinson,67,59,64,190,63.3333333333,0,2024-04-06
194,Charo,86,64,60,210,70,0,2024-04-05
195,Leo,83,85,76,244,81.3333333333,0,2024-04-06
196,Alfonso,56,90,56,202,67.3333333333,0,2024-04-05
197,Luz,74,66,74,214,71.3333333333,0,2024-04-08
198,Dianemarie,85,90,79,254,84.6666666667,0,2024-04-08
199,Isaac,64,71,71,206,68.6666666667,0,2024-04-08
200,Tamara,77,88,59,224,74.6666666667,0,2024-04-08
201,Keriann,96,100,78,274,91.3333333333,0,2024-04-07
202,Courtney,58,83,55,196,65.3333333333,0,2024-04-07
203,Madelina,90,73,98,261,87,0,2024-04-08
204,Jory,85,76,81,242,80.6666666667,0,2024-04-09
205,Kiersten,88,67,80,235,78.3333333333,0,2024-04-01
206,Elnora,56,54,90,200,66.6666666667,0,2024-04-06
207,Derward,70,84,97,251,83.6666666667,0,2024-04-01
208,Quinton,100,100,90,290,96.6666666667,0,2024-04-03
209,Damaris,91,99,76,266,88.6666666667,0,2024-04-03
210,Harcourt,63,61,76,200,66.6666666667,0,2024-04-04
211,Aluin,72,74,79,225,75,0,2024-04-03
212,Anselma,94,87,96,277,92.3333333333,0,2024-04-01
213,Basilio,73,87,59,219,73,0,2024-04-04
214,Cesar,86,83,55,224,74.6666666667,0,2024-04-04
215,Layne,98,99,77,274,91.3333333333,0,2024-04-04
216,Jorry,50,50,66,166,55.3333333333,0,2024-04-08
217,Iolande,65,59,72,196,65.3333333333,0,2024-04-03
218,Lock,76,55,95,226,75.3333333333,0,2024-04-03
219,Saundra,81,63,80,224,74.6666666667,0,2024-04-09
220,Suzanna,69,75,92,236,78.6666666667,0,2024-04-01
221,Ceil,95,72,82,249,83,0,2024-04-02
222,Caitlin,61,96,78,235,78.3333333333,0,2024-04-08
223,Rosaline,75,86,82,243,81,0,2024-04-08
224,Maryanne,88,90,81,259,86.3333333333,0,2024-04-07
225,Jorey,70,82,74,226,75.3333333333,0,2024-04-08
226,Avigdor,98,98,89,285,95,0,2024-04-08
227,Jermaine,74,78,66,218,72.6666666667,0,2024-04-05
228,Caleb,59,88,59,206,68.6666666667,0,2024-04-08
229,Addie,93,74,86,253,84.3333333333,0,2024-04-06
230,Claire,86,54,65,205,68.3333333333,0,2024-04-07
231,Orly,77,83,62,222,74,0,2024-04-07
232,Jenn,91,69,62,222,74,0,2024-04-07
233,Rosaleen,62,96,80,238,79.3333333333,0,2024-04-08
234,Guthry,97,78,87,262,87.3333333333,0,2024-04-09
235,Garrott,95,95,90,280,93.3333333333,0,2024-04-02
236,Sigvard,83,65,73,221,73.6666666667,0,2024-04-01
237,Betti,52,84,78,214,71.3333333333,0,2024-04-09
238,Michaella,67,93,76,236,78.6666666667,0,2024-04-01
239,Sarajane,72,65,58,195,65,0,2024-04-07
240,Maynord,88,64,65,217,72.3333333333,0,2024-04-03
241,Vanessa,78,50,93,221,73.6666666667,0,2024-04-07
242,Catherina,63,68,88,219,73,0,2024-04-05
243,Nick,59,100,66,225,75,0,2024-04-07
244,Kenneth,54,64,64,182,60.6666666667,0,2024-04-09
245,Leodora,62,53,64,179,59.6666666667,0,2024-04-04
246,Taddeusz,58,70,92,220,73.3333333333,0,2024-04-01
247,Ansel,75,81,70,226,75.3333333333,0,2024-04-03
248,Clarke,71,89,59,219,73,0,2024-04-09
249,Cristie,51,100,57,208,69.3333333333,0,2024-04-04
250,Parnell,68,65,53,186,62,0,2024-04-09
251,Maridel,92,68,78,238,79.3333333333,0,2024-04-07
252,Fredericka,86,61,77,224,74.6666666667,0,2024-04-03
253,Godfrey,74,60,67,201,67,0,2024-04-09
254,Stanford,53,92,97,242,80.6666666667,0,2024-04-01
255,Nicki,89,54,68,211,70.3333333333,0,2024-04-04
256,Teri,52,74,93,219,73,0,2024-04-04
257,Humfrid,95,61,93,249,83,0,2024-04-06
258,Skyler,96,79,81,256,85.3333333333,0,2024-04-08
259,Angy,76,75,57,208,69.3333333333,0,2024-04-08
260,Dominique,70,67,78,215,71.6666666667,0,2024-04-09
261,Harmon,98,82,62,242,80.6666666667,0,2024-04-01
262,Teodoor,81,94,73,248,82.6666666667,0,2024-04-07
263,Stephi,91,72,68,231,77,0,2024-04-07
264,Yule,56,84,92,232,77.3333333333,0,2024-04-06
265,Marlin,90,57,99,246,82,0,2024-04-07
266,Winnifred,88,93,92,273,91,0,2024-04-04
267,Jedd,80,83,96,259,86.3333333333,0,2024-04-03
268,Karney,87,52,65,204,68,0,2024-04-07
269,Klarrisa,86,94,83,263,87.6666666667,0,2024-04-09
270,Pippa,100,58,94,252,84,0,2024-04-06
271,Donella,74,69,85,228,76,0,2024-04-01
272,Ellyn,73,52,71,196,65.3333333333,0,2024-04-02
273,Heindrick,89,77,94,260,86.6666666667,0,2024-04-07
274,Nollie,79,76,89,244,81.3333333333,0,2024-04-03
275,Florian,88,76,54,218,72.6666666667,0,2024-04-08
276,Alfy,67,70,67,204,68,0,2024-04-03
277,Leigha,69,84,78,231,77,0,2024-04-03
278,Ken,90,73,84,247,82.3333333333,0,2024-04-09
279,Marlee,65,59,67,191,63.6666666667,0,2024-04-07
280,Eleanora,92,52,61,205,68.3333333333,0,2024-04-01
281,Frieda,89,74,59,222,74,0,2024-04-06
282,Alica,69,69,76,214,71.3333333333,0,2024-04-05
283,Lyn,59,75,83,217,72.3333333333,0,2024-04-03
284,Stanwood,67,95,70,232,77.3333333333,0,2024-04-08
285,Damiano,73,100,51,224,74.6666666667,0,2024-04-04
286,Jo,77,90,82,249,83,0,2024-04-01
287,Zola,75,81,77,233,77.6666666667,0,2024-04-06
288,Danni,54,77,93,224,74.6666666667,0,2024-04-01
289,Vally,94,56,58,208,69.3333333333,0,2024-04-03
290,Terrell,70,93,60,223,74.3333333333,0,2024-04-02
291,Crysta,100,52,56,208,69.3333333333,0,2024-04-08
292,Kristel,50,86,76,212,70.6666666667,0,2024-04-05
293,William,83,57,81,221,73.6666666667,0,2024-04-04
294,Tessi,69,60,78,207,69,0,2024-04-02
295,Gusty,88,68,56,212,70.6666666667,0,2024-04-09
296,Gennifer,85,82,90,257,85.6666666667,0,2024-04-09
297,Ted,79,65,89,233,77.6666666667,0,2024-04-03
298,Iain,82,90,82,254,84.6666666667,0,2024-04-04
299,Humfrey,54,58,94,206,68.6666666667,0,2024-04-04
300,Leonid,56,74,82,212,70.6666666667,0,2024-04-02
301,Cosme,60,66,90,216,72,0,2024-04-04
302,Livvie,55,98,59,212,70.6666666667,0,2024-04-03
303,Onofredo,78,89,67,234,78,0,2024-04-04
304,Jessica,84,72,69,225,75,0,2024-04-01
305,Barret,85,59,56,200,66.6666666667,0,2024-04-06
306,Lu,100,96,90,286,95.3333333333,0,2024-04-05
307,Aveline,93,56,51,200,66.6666666667,0,2024-04-09
308,Justinn,96,61,66,223,74.3333333333,0,2024-04-02
309,Vinny,53,74,89,216,72,0,2024-04-03
310,Gerhardine,83,85,70,238,79.3333333333,0,2024-04-09
311,Alix,84,61,100,245,81.6666666667,0,2024-04-01
312,Karole,88,66,76,230,76.6666666667,0,2024-04-01
313,Romeo,95,76,50,221,73.6666666667,0,2024-04-08
314,Hadleigh,85,95,98,278,92.6666666667,0,2024-04-05
315,Jacintha,98,87,67,252,84,0,2024-04-02
316,Clemente,89,59,61,209,69.6666666667,0,2024-04-07
317,Normy,60,87,53,200,66.6666666667,0,2024-04-04
318,Reg,89,88,54,231,77,0,2024-04-06
319,Roi,92,97,82,271,90.3333333333,0,2024-04-06
320,Osborne,90,100,96,286,95.3333333333,0,2024-04-05
321,Orelia,62,95,80,237,79,0,2024-04-04
322,Englebert,71,53,90,214,71.3333333333,0,2024-04-05
323,Zeke,76,56,88,220,73.3333333333,0,2024-04-07
324,Napoleon,52,89,90,231,77,0,2024-04-05
325,Beilul,80,95,99,274,91.3333333333,0,2024-04-02
326,Alvan,81,99,100,280,93.3333333333,0,2024-04-03
327,Jewel,79,60,74,213,71,0,2024-04-09
328,Alano,54,77,58,189,63,0,2024-04-05
329,Morry,72,50,98,220,73.3333333333,0,2024-04-05
330,Redford,50,91,68,209,69.6666666667,0,2024-04-08
331,Brewer,62,62,87,211,70.3333333333,0,2024-04-09
332,Esme,78,63,66,207,69,0,2024-04-01
333,Gothart,58,90,78,226,75.3333333333,0,2024-04-02
334,Amalea,70,59,56,185,61.6666666667,0,2024-04-01
335,Fianna,65,50,99,214,71.3333333333,0,2024-04-01
336,Gustaf,62,65,94,221,73.6666666667,0,2024-04-03
337,Boyce,92,64,69,225,75,0,2024-04-04
338,Carlen,51,81,66,198,66,0,2024-04-04
339,Addi,87,61,64,212,70.6666666667,0,2024-04-02
340,Saudra,87,86,87,260,86.6666666667,0,2024-04-08
341,Spence,84,70,67,221,73.6666666667,0,2024-04-08
342,Manolo,60,80,72,212,70.6666666667,0,2024-04-01
343,Etti,67,78,56,201,67,0,2024-04-02
344,Haleigh,83,82,81,246,82,0,2024-04-09
345,Francklyn,83,80,70,233,77.6666666667,0,2024-04-04
346,Dana,86,70,80,236,78.6666666667,0,2024-04-02
347,Lilyan,69,61,98,228,76,0,2024-04-06
348,Caleb,61,50,70,181,60.3333333333,0,2024-04-09
349,Karine,60,85,60,205,68.3333333333,0,2024-04-03
350,Ilka,77,69,57,203,67.6666666667,0,2024-04-01
351,Dianna,98,70,95,263,87.6666666667,0,2024-04-01
352,Derward,62,94,90,246,82,0,2024-04-05
353,Claudette,100,56,88,244,81.3333333333,0,2024-04-08
354,Sher,99,66,56,221,73.6666666667,0,2024-04-09
355,Morrie,61,94,70,225,75,0,2024-04-08
356,Saunders,62,93,74,229,76.3333333333,0,2024-04-06
357,Bernarr,76,65,70,211,70.3333333333,0,2024-04-03
358,Rita,71,72,96,239,79.6666666667,0,2024-04-06
359,Linus,100,66,60,226,75.3333333333,0,2024-04-07
360,Audie,76,99,72,247,82.3333333333,0,2024-04-05
361,Gib,70,99,69,238,79.3333333333,0,2024-04-04
362,Kally,80,71,66,217,72.3333333333,0,2024-04-08
363,Kellia,97,68,58,223,74.3333333333,0,2024-04-05
364,Laurie,82,73,81,236,78.6666666667,0,2024-04-07
365,Denys,56,50,66,172,57.3333333333,0,2024-04-06
366,Marne,77,70,91,238,79.3333333333,0,2024-04-05
367,Emilee,79,100,66,245,81.6666666667,0,2024-04-02
368,Gigi,85,57,88,230,76.6666666667,0,2024-04-03
369,Hymie,82,53,68,203,67.6666666667,0,2024-04-05
370,Danika,54,77,71,202,67.3333333333,0,2024-04-04
371,Miles,90,59,79,228,76,0,2024-04-09
372,Sully,95,63,61,219,73,0,2024-04-06
373,Minnaminnie,66,64,97,227,75.6666666667,0,2024-04-03
374,Jeannie,65,96,67,228,76,0,2024-04-09
375,Tressa,81,54,94,229,76.3333333333,0,2024-04-01
376,Griff,96,96,94,286,95.3333333333,0,2024-04-09
377,Javier,59,64,84,207,69,0,2024-04-06
378,Korella,85,100,100,285,95,0,2024-04-09
379,Granger,98,82,62,242,80.6666666667,0,2024-04-09
380,Gannie,100,76,99,275,91.6666666667,0,2024-04-07
381,Warner,92,63,64,219,73,0,2024-04-02
382,Leonhard,90,70,58,218,72.6666666667,0,2024-04-09
383,Demetria,74,93,72,239,79.6666666667,0,2024-04-03
384,Angy,92,65,87,244,81.3333333333,0,2024-04-01
385,Tom,69,70,66,205,68.3333333333,0,2024-04-02
386,Ashil,65,90,59,214,71.3333333333,0,2024-04-01
387,Trenton,82,74,91,247,82.3333333333,0,2024-04-06
388,Aleksandr,72,89,91,252,84,0,2024-04-09
389,Alejandro,83,68,91,242,80.6666666667,0,2024-04-09
390,Quintana,92,97,77,266,88.6666666667,0,2024-04-06
391,Noak,91,51,81,223,74.3333333333,0,2024-04-02
392,Brock,50,56,84,190,63.3333333333,0,2024-04-05
393,Ann,76,81,87,244,81.3333333333,0,2024-04-02
394,Willdon,55,89,91,235,78.3333333333,0,2024-04-05
395,Talyah,69,90,57,216,72,0,2024-04-01
396,Alta,57,54,57,168,56,0,2024-04-02
397,Cecily,50,80,73,203,67.6666666667,0,2024-04-07
398,Petey,67,64,85,216,72,0,2024-04-09
399,Ardella,90,90,66,246,82,0,2024-04-06
400,Lacee,57,59,91,207,69,0,2024-04-07
401,Edita,72,85,71,228,76,0,2024-04-04
402,Osmund,91,52,71,214,71.3333333333,0,2024-04-02
403,Sharla,58,95,66,219,73,0,2024-04-01
404,Morgen,51,79,57,187,62.3333333333,0,2024-04-07
405,Maximo,59,62,87,208,69.3333333333,0,2024-04-02
406,Diahann,78,86,92,256,85.3333333333,0,2024-04-06
407,Nadean,93,80,60,233,77.6666666667,0,2024-04-05
408,Mariel,76,88,58,222,74,0,2024-04-06
409,Carney,67,85,65,217,72.3333333333,0,2024-04-01
410,Hermia,84,62,75,221,73.6666666667,0,2024-04-05
411,Veronika,52,88,97,237,79,0,2024-04-02
412,Ase,78,59,70,207,69,0,2024-04-02
413,Dru,50,50,50,150,50,0,2024-04-09
414,Jannel,77,73,78,228,76,0,2024-04-02
415,Laural,58,77,61,196,65.3333333333,0,2024-04-09
416,Allyn,61,78,86,225,75,0,2024-04-07
417,Eugene,79,64,50,193,64.3333333333,0,2024-04-03
418,Lidia,60,86,63,209,69.6666666667,0,2024-04-08
419,Lay,67,80,64,211,70.3333333333,0,2024-04-02
420,Brett,92,78,91,261,87,0,2024-04-05
421,Edita,70,99,65,234,78,0,2024-04-01
422,Edd,65,53,94,212,70.6666666667,0,2024-04-02
423,Ode,68,84,78,230,76.6666666667,0,2024-04-05
424,Pet,73,100,85,258,86,0,2024-04-04
425,Eldredge,89,74,91,254,84.6666666667,0,2024-04-01
426,Jorry,84,69,58,211,70.3333333333,0,2024-04-08
427,Claudie,81,85,96,262,87.3333333333,0,2024-04-04
428,Nettie,54,52,99,205,68.3333333333,0,2024-04-05
429,Reidar,52,71,55,178,59.3333333333,0,2024-04-05
430,Auria,83,57,71,211,70.3333333333,0,2024-04-09
431,Jeanie,77,59,73,209,69.6666666667,0,2024-04-02
432,Pinchas,58,73,83,214,71.3333333333,0,2024-04-07
433,Stan,64,78,77,219,73,0,2024-04-05
434,Moira,100,54,90,244,81.3333333333,0,2024-04-06
435,Norene,62,70,97,229,76.3333333333,0,2024-04-03
436,Heloise,94,92,86,272,90.6666666667,0,2024-04-08
437,Idalina,57,80,52,189,63,0,2024-04-02
438,Joshia,99,65,51,215,71.6666666667,0,2024-04-06
439,Bryna,90,58,75,223,74.3333333333,0,2024-04-08
440,Gibby,79,52,68,199,66.3333333333,0,2024-04-04
441,Laureen,63,71,74,208,69.3333333333,0,2024-04-03
442,Geralda,76,87,76,239,79.6666666667,0,2024-04-05
443,Wakefield,50,61,77,188,62.6666666667,0,2024-04-03
444,Timmy,72,89,71,232,77.3333333333,0,2024-04-06
445,Teddie,50,86,63,199,66.3333333333,0,2024-04-07
446,Floria,59,75,81,215,71.6666666667,0,2024-04-07
447,Aloisia,89,55,73,217,72.3333333333,0,2024-04-01
448,Ned,61,87,86,234,78,0,2024-04-06
449,Andeee,88,53,96,237,79,0,2024-04-07
450,Randie,88,60,56,204,68,0,2024-04-01
451,Ebba,57,53,84,194,64.6666666667,0,2024-04-04
452,Trace,85,92,68,245,81.6666666667,0,2024-04-01
453,Heall,53,60,100,213,71,0,2024-04-08
454,Bonita,50,78,57,185,61.6666666667,0,2024-04-08
455,Cristina,66,77,59,202,67.3333333333,0,2024-04-08
456,Lek,65,97,66,228,76,0,2024-04-05
457,Engracia,87,68,69,224,74.6666666667,0,2024-04-05
458,Harrie,96,95,53,244,81.3333333333,0,2024-04-02
459,Gladys,77,64,60,201,67,0,2024-04-02
460,Felita,70,72,65,207,69,0,2024-04-07
461,Brandyn,76,73,86,235,78.3333333333,0,2024-04-08
462,Missie,67,74,61,202,67.3333333333,0,2024-04-08
463,Rollie,91,52,90,233,77.6666666667,0,2024-04-02
464,Waylin,93,56,79,228,76,0,2024-04-02
465,Joya,79,62,82,223,74.3333333333,0,2024-04-07
466,Raphael,96,90,71,257,85.6666666667,0,2024-04-08
467,Selle,74,65,97,236,78.6666666667,0,2024-04-06
468,Claus,64,100,75,239,79.6666666667,0,2024-04-01
469,Kevan,71,69,91,231,77,0,2024-04-09
470,Cecilia,54,97,80,231,77,0,2024-04-01
471,Skipton,77,83,69,229,76.3333333333,0,2024-04-07
472,Basile,80,63,63,206,68.6666666667,0,2024-04-02
473,Noelle,94,56,55,205,68.3333333333,0,2024-04-01
474,Robinet,64,96,56,216,72,0,2024-04-08
475,Hammad,72,61,60,193,64.3333333333,0,2024-04-04
