no,id,kor,eng,math,total,avg,rank,c_date
117,Jesse,55,91,66,212,70.66666667,0,2024-04-09
118,Jacky,60,65,91,216,72,0,2024-04-07
119,Marnie,78,82,67,227,75.66666667,0,2024-04-07
120,Jacquenetta,95,92,84,271,90.33333333,0,2024-04-08
121,Harmony,58,93,72,223,74.33333333,0,2024-04-03
122,Titus,73,96,91,260,86.66666667,0,2024-04-09
123,Ashleigh,96,51,60,207,69,0,2024-04-02
124,Shaine,70,73,93,236,78.66666667,0,2024-04-03
125,Joceline,59,95,68,222,74,0,2024-04-09
126,Salomi,91,57,75,223,74.33333333,0,2024-04-01
127,Cheryl,95,98,93,286,95.33333333,0,2024-04-01
128,Thoma,89,84,73,246,82,0,2024-04-04
129,Aloin,68,70,82,220,73.33333333,0,2024-04-07
130,Daphne,89,66,52,207,69,0,2024-04-02
131,Marlo,65,63,100,228,76,0,2024-04-06
132,Zaccaria,73,56,51,180,60,0,2024-04-01
133,Ferguson,100,52,98,250,83.33333333,0,2024-04-07
134,Alma,70,50,51,171,57,0,2024-04-09
135,Rhodie,66,83,76,225,75,0,2024-04-03
136,Gawen,50,68,63,181,60.33333333,0,2024-04-03
137,Mendie,81,87,59,227,75.66666667,0,2024-04-02
138,Alan,87,54,58,199,66.33333333,0,2024-04-07
139,Mohammed,84,57,55,196,65.33333333,0,2024-04-09
140,Cristobal,89,51,88,228,76,0,2024-04-05
141,Benedick,76,50,77,203,67.66666667,0,2024-04-06
142,Kenny,55,56,64,175,58.33333333,0,2024-04-08
143,Sherrie,58,86,59,203,67.66666667,0,2024-04-08
144,Karney,89,83,98,270,90,0,2024-04-06
145,Portia,76,75,97,248,82.66666667,0,2024-04-02
146,Alethea,76,63,87,226,75.33333333,0,2024-04-01
147,Colin,89,61,64,214,71.33333333,0,2024-04-08
148,Nomi,50,86,61,197,65.66666667,0,2024-04-05
149,Morgen,67,64,70,201,67,0,2024-04-08
150,Addie,54,92,94,240,80,0,2024-04-08
151,Charo,84,74,97,255,85,0,2024-04-08
152,Dick,61,53,97,211,70.33333333,0,2024-04-08
153,Alaster,52,78,72,202,67.33333333,0,2024-04-05
154,Taffy,69,78,79,226,75.33333333,0,2024-04-04
155,Blair,96,71,97,264,88,0,2024-04-01
156,Rebecca,92,63,67,222,74,0,2024-04-03
157,Wendy,51,94,90,235,78.33333333,0,2024-04-09
158,Benito,72,57,74,203,67.66666667,0,2024-04-04
159,Guenevere,58,92,69,219,73,0,2024-04-09
160,Bessie,53,94,55,202,67.33333333,0,2024-04-03
161,Dilan,92,90,76,258,86,0,2024-04-06
162,Mahmud,88,73,51,212,70.66666667,0,2024-04-03
163,Jesse,70,63,77,210,70,0,2024-04-09
164,Dalila,64,62,96,222,74,0,2024-04-06
165,Tymon,70,78,73,221,73.66666667,0,2024-04-08
166,Keane,53,64,97,214,71.33333333,0,2024-04-01
167,Koenraad,60,76,67,203,67.66666667,0,2024-04-04
168,Felecia,92,71,99,262,87.33333333,0,2024-04-02
169,Nehemiah,95,80,93,268,89.33333333,0,2024-04-02
170,Tobias,67,83,88,238,79.33333333,0,2024-04-03
171,Hymie,99,69,60,228,76,0,2024-04-05
172,Benedicto,58,60,87,205,68.33333333,0,2024-04-04
173,Carroll,63,65,78,206,68.66666667,0,2024-04-08
174,Dame,98,90,84,272,90.66666667,0,2024-04-07
175,Parsifal,71,66,66,203,67.66666667,0,2024-04-04
176,Cindelyn,90,88,79,257,85.66666667,0,2024-04-04
177,Nara,93,85,70,248,82.66666667,0,2024-04-06
178,Bear,95,52,85,232,77.33333333,0,2024-04-04
179,Alphonse,51,92,72,215,71.66666667,0,2024-04-01
180,Nikki,81,55,68,204,68,0,2024-04-01
181,Artie,50,91,63,204,68,0,2024-04-06
182,Jodie,68,91,81,240,80,0,2024-04-07
183,Stanislaus,84,100,85,269,89.66666667,0,2024-04-06
184,Agneta,58,68,54,180,60,0,2024-04-09
185,Roslyn,71,56,72,199,66.33333333,0,2024-04-09
186,Bess,84,94,80,258,86,0,2024-04-09
187,Hillel,72,83,63,218,72.66666667,0,2024-04-03
188,Frederic,51,100,62,213,71,0,2024-04-01
189,Avery,86,91,99,276,92,0,2024-04-03
190,Webster,68,99,96,263,87.66666667,0,2024-04-09
191,Sadie,83,57,100,240,80,0,2024-04-04
192,Emmery,52,50,89,191,63.66666667,0,2024-04-09
193,Marie,67,59,64,190,63.33333333,0,2024-04-06
194,Ardyce,86,64,60,210,70,0,2024-04-05
195,Brendon,83,85,76,244,81.33333333,0,2024-04-06
196,Timothee,56,90,56,202,67.33333333,0,2024-04-05
197,Finley,74,66,74,214,71.33333333,0,2024-04-08
198,Adela,85,90,79,254,84.66666667,0,2024-04-08
199,Augustine,64,71,71,206,68.66666667,0,2024-04-08
200,Thaine,77,88,59,224,74.66666667,0,2024-04-08
201,Torr,96,100,78,274,91.33333333,0,2024-04-07
202,Khalil,58,83,55,196,65.33333333,0,2024-04-07
203,Tiena,90,73,98,261,87,0,2024-04-08
204,Dehlia,85,76,81,242,80.66666667,0,2024-04-09
205,Eolande,88,67,80,235,78.33333333,0,2024-04-01
206,Colette,56,54,90,200,66.66666667,0,2024-04-06
207,Simon,70,84,97,251,83.66666667,0,2024-04-01
208,Ursa,100,100,90,290,96.66666667,0,2024-04-03
209,Cointon,91,99,76,266,88.66666667,0,2024-04-03
210,Dylan,63,61,76,200,66.66666667,0,2024-04-04
211,Granthem,72,74,79,225,75,0,2024-04-03
212,Bert,94,87,96,277,92.33333333,0,2024-04-01
213,Sheff,73,87,59,219,73,0,2024-04-04
214,Drucill,86,83,55,224,74.66666667,0,2024-04-04
215,Iseabal,98,99,77,274,91.33333333,0,2024-04-04
216,Graeme,50,50,66,166,55.33333333,0,2024-04-08
217,Ann-marie,65,59,72,196,65.33333333,0,2024-04-03
218,Melesa,76,55,95,226,75.33333333,0,2024-04-03
219,Etta,81,63,80,224,74.66666667,0,2024-04-09
220,Danie,69,75,92,236,78.66666667,0,2024-04-01
221,Darline,95,72,82,249,83,0,2024-04-02
222,Clayton,61,96,78,235,78.33333333,0,2024-04-08
223,Brennan,75,86,82,243,81,0,2024-04-08
224,Shem,88,90,81,259,86.33333333,0,2024-04-07
225,Jeremie,70,82,74,226,75.33333333,0,2024-04-08
226,Mireielle,98,98,89,285,95,0,2024-04-08
227,Hercule,74,78,66,218,72.66666667,0,2024-04-05
228,Robby,59,88,59,206,68.66666667,0,2024-04-08
229,Gradey,93,74,86,253,84.33333333,0,2024-04-06
230,Wilmar,86,54,65,205,68.33333333,0,2024-04-07
231,Ailsun,77,83,62,222,74,0,2024-04-07
232,Bank,91,69,62,222,74,0,2024-04-07
233,Sofie,62,96,80,238,79.33333333,0,2024-04-08
234,Otho,97,78,87,262,87.33333333,0,2024-04-09
235,Dominik,95,95,90,280,93.33333333,0,2024-04-02
236,Rollo,83,65,73,221,73.66666667,0,2024-04-01
237,Holly,52,84,78,214,71.33333333,0,2024-04-09
238,Grange,67,93,76,236,78.66666667,0,2024-04-01
239,Fernando,72,65,58,195,65,0,2024-04-07
240,Gun,88,64,65,217,72.33333333,0,2024-04-03
241,Dollie,78,50,93,221,73.66666667,0,2024-04-07
242,Clay,63,68,88,219,73,0,2024-04-05
243,Brigg,59,100,66,225,75,0,2024-04-07
244,Annetta,54,64,64,182,60.66666667,0,2024-04-09
245,Sheppard,62,53,64,179,59.66666667,0,2024-04-04
246,Francine,58,70,92,220,73.33333333,0,2024-04-01
247,Queenie,75,81,70,226,75.33333333,0,2024-04-03
248,Mollie,71,89,59,219,73,0,2024-04-09
249,Jackson,51,100,57,208,69.33333333,0,2024-04-04
250,Ariella,68,65,53,186,62,0,2024-04-09
251,Benedict,92,68,78,238,79.33333333,0,2024-04-07
252,Abigale,86,61,77,224,74.66666667,0,2024-04-03
253,Bogey,74,60,67,201,67,0,2024-04-09
254,Thor,53,92,97,242,80.66666667,0,2024-04-01
255,Shaun,89,54,68,211,70.33333333,0,2024-04-04
256,Cornell,52,74,93,219,73,0,2024-04-04
257,Row,95,61,93,249,83,0,2024-04-06
258,Arlina,96,79,81,256,85.33333333,0,2024-04-08
259,Elenore,76,75,57,208,69.33333333,0,2024-04-08
260,Dale,70,67,78,215,71.66666667,0,2024-04-09
261,Geneva,98,82,62,242,80.66666667,0,2024-04-01
262,Olenka,81,94,73,248,82.66666667,0,2024-04-07
263,Meggie,91,72,68,231,77,0,2024-04-07
264,Wilhelm,56,84,92,232,77.33333333,0,2024-04-06
265,Audi,90,57,99,246,82,0,2024-04-07
266,Meredithe,88,93,92,273,91,0,2024-04-04
267,Tuesday,80,83,96,259,86.33333333,0,2024-04-03
268,Antonetta,87,52,65,204,68,0,2024-04-07
269,Robby,86,94,83,263,87.66666667,0,2024-04-09
270,Leupold,100,58,94,252,84,0,2024-04-06
271,Merwin,74,69,85,228,76,0,2024-04-01
272,Alberik,73,52,71,196,65.33333333,0,2024-04-02
273,Kacy,89,77,94,260,86.66666667,0,2024-04-07
274,Britt,79,76,89,244,81.33333333,0,2024-04-03
275,Lawry,88,76,54,218,72.66666667,0,2024-04-08
276,Maybelle,67,70,67,204,68,0,2024-04-03
277,Aimee,69,84,78,231,77,0,2024-04-03
278,Alberik,90,73,84,247,82.33333333,0,2024-04-09
279,Tarrah,65,59,67,191,63.66666667,0,2024-04-07
280,Ruprecht,92,52,61,205,68.33333333,0,2024-04-01
281,Lonnie,89,74,59,222,74,0,2024-04-06
282,Guinna,69,69,76,214,71.33333333,0,2024-04-05
283,Constantine,59,75,83,217,72.33333333,0,2024-04-03
284,Judah,67,95,70,232,77.33333333,0,2024-04-08
285,Bernardine,73,100,51,224,74.66666667,0,2024-04-04
286,Marge,77,90,82,249,83,0,2024-04-01
287,Ximenes,75,81,77,233,77.66666667,0,2024-04-06
288,Scot,54,77,93,224,74.66666667,0,2024-04-01
289,Kippy,94,56,58,208,69.33333333,0,2024-04-03
290,Gizela,70,93,60,223,74.33333333,0,2024-04-02
291,Sybille,100,52,56,208,69.33333333,0,2024-04-08
292,Leonanie,50,86,76,212,70.66666667,0,2024-04-05
293,Betta,83,57,81,221,73.66666667,0,2024-04-04
294,Jarid,69,60,78,207,69,0,2024-04-02
295,Dorine,88,68,56,212,70.66666667,0,2024-04-09
296,Daisie,85,82,90,257,85.66666667,0,2024-04-09
297,Hyacinthie,79,65,89,233,77.66666667,0,2024-04-03
298,Clifford,82,90,82,254,84.66666667,0,2024-04-04
299,Kissee,54,58,94,206,68.66666667,0,2024-04-04
300,Stefanie,56,74,82,212,70.66666667,0,2024-04-02
301,Marji,60,66,90,216,72,0,2024-04-04
302,Gregorio,55,98,59,212,70.66666667,0,2024-04-03
303,Rosalinda,78,89,67,234,78,0,2024-04-04
304,Leonidas,84,72,69,225,75,0,2024-04-01
305,Shelden,85,59,56,200,66.66666667,0,2024-04-06
306,Vikki,100,96,90,286,95.33333333,0,2024-04-05
307,Sada,93,56,51,200,66.66666667,0,2024-04-09
308,Sammie,96,61,66,223,74.33333333,0,2024-04-02
309,Zorina,53,74,89,216,72,0,2024-04-03
310,Arvin,83,85,70,238,79.33333333,0,2024-04-09
311,Kandace,84,61,100,245,81.66666667,0,2024-04-01
312,Irena,88,66,76,230,76.66666667,0,2024-04-01
313,Malissia,95,76,50,221,73.66666667,0,2024-04-08
314,Prisca,85,95,98,278,92.66666667,0,2024-04-05
315,Farand,98,87,67,252,84,0,2024-04-02
316,Gina,89,59,61,209,69.66666667,0,2024-04-07
317,Jillene,60,87,53,200,66.66666667,0,2024-04-04
318,Jae,89,88,54,231,77,0,2024-04-06
319,Sheilakathryn,92,97,82,271,90.33333333,0,2024-04-06
320,Gun,90,100,96,286,95.33333333,0,2024-04-05
321,Taber,62,95,80,237,79,0,2024-04-04
322,Johnath,71,53,90,214,71.33333333,0,2024-04-05
323,Charlton,76,56,88,220,73.33333333,0,2024-04-07
324,Sammie,52,89,90,231,77,0,2024-04-05
325,Purcell,80,95,99,274,91.33333333,0,2024-04-02
326,Noellyn,81,99,100,280,93.33333333,0,2024-04-03
327,Cassandry,79,60,74,213,71,0,2024-04-09
328,Julienne,54,77,58,189,63,0,2024-04-05
329,Franklin,72,50,98,220,73.33333333,0,2024-04-05
330,Coreen,50,91,68,209,69.66666667,0,2024-04-08
331,Rosa,62,62,87,211,70.33333333,0,2024-04-09
332,Jemima,78,63,66,207,69,0,2024-04-01
333,Ferrell,58,90,78,226,75.33333333,0,2024-04-02
334,Elsworth,70,59,56,185,61.66666667,0,2024-04-01
335,Mildred,65,50,99,214,71.33333333,0,2024-04-01
336,Izaak,62,65,94,221,73.66666667,0,2024-04-03
337,Costanza,92,64,69,225,75,0,2024-04-04
338,Lou,51,81,66,198,66,0,2024-04-04
339,Bryce,87,61,64,212,70.66666667,0,2024-04-02
340,Sammie,87,86,87,260,86.66666667,0,2024-04-08
341,Leann,84,70,67,221,73.66666667,0,2024-04-08
342,Griz,60,80,72,212,70.66666667,0,2024-04-01
343,Candide,67,78,56,201,67,0,2024-04-02
344,Ronald,83,82,81,246,82,0,2024-04-09
345,Barry,83,80,70,233,77.66666667,0,2024-04-04
346,Andromache,86,70,80,236,78.66666667,0,2024-04-02
347,Catina,69,61,98,228,76,0,2024-04-06
348,Otis,61,50,70,181,60.33333333,0,2024-04-09
349,Vivian,60,85,60,205,68.33333333,0,2024-04-03
350,Paulo,77,69,57,203,67.66666667,0,2024-04-01
351,Orlan,98,70,95,263,87.66666667,0,2024-04-01
352,Winny,62,94,90,246,82,0,2024-04-05
353,Rickert,100,56,88,244,81.33333333,0,2024-04-08
354,Davide,99,66,56,221,73.66666667,0,2024-04-09
355,Brooks,61,94,70,225,75,0,2024-04-08
356,Willard,62,93,74,229,76.33333333,0,2024-04-06
357,Shanan,76,65,70,211,70.33333333,0,2024-04-03
358,Trula,71,72,96,239,79.66666667,0,2024-04-06
359,Cindelyn,100,66,60,226,75.33333333,0,2024-04-07
360,Richard,76,99,72,247,82.33333333,0,2024-04-05
361,Roderic,70,99,69,238,79.33333333,0,2024-04-04
362,Kacie,80,71,66,217,72.33333333,0,2024-04-08
363,Anallese,97,68,58,223,74.33333333,0,2024-04-05
364,Amity,82,73,81,236,78.66666667,0,2024-04-07
365,Alano,56,50,66,172,57.33333333,0,2024-04-06
366,Cathrin,77,70,91,238,79.33333333,0,2024-04-05
367,Ramonda,79,100,66,245,81.66666667,0,2024-04-02
368,Araldo,85,57,88,230,76.66666667,0,2024-04-03
369,Lorens,82,53,68,203,67.66666667,0,2024-04-05
370,Berget,54,77,71,202,67.33333333,0,2024-04-04
371,Braden,90,59,79,228,76,0,2024-04-09
372,Whitney,95,63,61,219,73,0,2024-04-06
373,Court,66,64,97,227,75.66666667,0,2024-04-03
374,Rayshell,65,96,67,228,76,0,2024-04-09
375,Wilek,81,54,94,229,76.33333333,0,2024-04-01
376,Freddie,96,96,94,286,95.33333333,0,2024-04-09
377,Gal,59,64,84,207,69,0,2024-04-06
378,Moshe,85,100,100,285,95,0,2024-04-09
379,Prince,98,82,62,242,80.66666667,0,2024-04-09
380,Marjy,100,76,99,275,91.66666667,0,2024-04-07
381,Lucy,92,63,64,219,73,0,2024-04-02
382,Mercie,90,70,58,218,72.66666667,0,2024-04-09
383,Gnni,74,93,72,239,79.66666667,0,2024-04-03
384,Goldy,92,65,87,244,81.33333333,0,2024-04-01
385,Jamie,69,70,66,205,68.33333333,0,2024-04-02
386,Katerine,65,90,59,214,71.33333333,0,2024-04-01
387,Nanete,82,74,91,247,82.33333333,0,2024-04-06
388,Saudra,72,89,91,252,84,0,2024-04-09
389,Kitti,83,68,91,242,80.66666667,0,2024-04-09
390,Jackelyn,92,97,77,266,88.66666667,0,2024-04-06
391,Allyson,91,51,81,223,74.33333333,0,2024-04-02
392,Abigail,50,56,84,190,63.33333333,0,2024-04-05
393,Maynard,76,81,87,244,81.33333333,0,2024-04-02
394,Barret,55,89,91,235,78.33333333,0,2024-04-05
395,Felicity,69,90,57,216,72,0,2024-04-01
396,Nelle,57,54,57,168,56,0,2024-04-02
397,Nissa,50,80,73,203,67.66666667,0,2024-04-07
398,Kare,67,64,85,216,72,0,2024-04-09
399,Andris,90,90,66,246,82,0,2024-04-06
400,Astra,57,59,91,207,69,0,2024-04-07
401,Mano,72,85,71,228,76,0,2024-04-04
402,Yoshi,91,52,71,214,71.33333333,0,2024-04-02
403,Gar,58,95,66,219,73,0,2024-04-01
404,Osbourne,51,79,57,187,62.33333333,0,2024-04-07
405,Rollins,59,62,87,208,69.33333333,0,2024-04-02
406,Hilary,78,86,92,256,85.33333333,0,2024-04-06
407,Asher,93,80,60,233,77.66666667,0,2024-04-05
408,Leroi,76,88,58,222,74,0,2024-04-06
409,Perl,67,85,65,217,72.33333333,0,2024-04-01
410,Roxie,84,62,75,221,73.66666667,0,2024-04-05
411,Kennett,52,88,97,237,79,0,2024-04-02
412,Di,78,59,70,207,69,0,2024-04-02
413,Ring,50,50,50,150,50,0,2024-04-09
414,Jase,77,73,78,228,76,0,2024-04-02
415,Antonius,58,77,61,196,65.33333333,0,2024-04-09
416,Kalindi,61,78,86,225,75,0,2024-04-07
417,Adler,79,64,50,193,64.33333333,0,2024-04-03
418,Skell,60,86,63,209,69.66666667,0,2024-04-08
419,Lise,67,80,64,211,70.33333333,0,2024-04-02
420,Charlena,92,78,91,261,87,0,2024-04-05
421,Farrah,70,99,65,234,78,0,2024-04-01
422,Domeniga,65,53,94,212,70.66666667,0,2024-04-02
423,Devora,68,84,78,230,76.66666667,0,2024-04-05
424,Shell,73,100,85,258,86,0,2024-04-04
425,Brunhilda,89,74,91,254,84.66666667,0,2024-04-01
426,Davida,84,69,58,211,70.33333333,0,2024-04-08
427,Munroe,81,85,96,262,87.33333333,0,2024-04-04
428,Jelene,54,52,99,205,68.33333333,0,2024-04-05
429,Loretta,52,71,55,178,59.33333333,0,2024-04-05
430,Hayden,83,57,71,211,70.33333333,0,2024-04-09
431,Sterling,77,59,73,209,69.66666667,0,2024-04-02
432,Esther,58,73,83,214,71.33333333,0,2024-04-07
433,Randal,64,78,77,219,73,0,2024-04-05
434,Allie,100,54,90,244,81.33333333,0,2024-04-06
435,Jermayne,62,70,97,229,76.33333333,0,2024-04-03
436,Claiborn,94,92,86,272,90.66666667,0,2024-04-08
437,Giffie,57,80,52,189,63,0,2024-04-02
438,Rickie,99,65,51,215,71.66666667,0,2024-04-06
439,Ermentrude,90,58,75,223,74.33333333,0,2024-04-08
440,Stanislaus,79,52,68,199,66.33333333,0,2024-04-04
441,Mariejeanne,63,71,74,208,69.33333333,0,2024-04-03
442,Kippy,76,87,76,239,79.66666667,0,2024-04-05
443,Leda,50,61,77,188,62.66666667,0,2024-04-03
444,Glenden,72,89,71,232,77.33333333,0,2024-04-06
445,Lacy,50,86,63,199,66.33333333,0,2024-04-07
446,Sigrid,59,75,81,215,71.66666667,0,2024-04-07
447,Maria,89,55,73,217,72.33333333,0,2024-04-01
448,Angel,61,87,86,234,78,0,2024-04-06
449,Skip,88,53,96,237,79,0,2024-04-07
450,Ogden,88,60,56,204,68,0,2024-04-01
451,Lionel,57,53,84,194,64.66666667,0,2024-04-04
452,Cathy,85,92,68,245,81.66666667,0,2024-04-01
453,Deerdre,53,60,100,213,71,0,2024-04-08
454,Naomi,50,78,57,185,61.66666667,0,2024-04-08
455,Seumas,66,77,59,202,67.33333333,0,2024-04-08
456,Raymund,65,97,66,228,76,0,2024-04-05
457,Derron,87,68,69,224,74.66666667,0,2024-04-05
458,Dill,96,95,53,244,81.33333333,0,2024-04-02
459,Selle,77,64,60,201,67,0,2024-04-02
460,Bud,70,72,65,207,69,0,2024-04-07
461,Woodie,76,73,86,235,78.33333333,0,2024-04-08
462,Locke,67,74,61,202,67.33333333,0,2024-04-08
463,Mikkel,91,52,90,233,77.66666667,0,2024-04-02
464,Maury,93,56,79,228,76,0,2024-04-02
465,Rosy,79,62,82,223,74.33333333,0,2024-04-07
466,Nessi,96,90,71,257,85.66666667,0,2024-04-08
467,Petrina,74,65,97,236,78.66666667,0,2024-04-06
468,Farlay,64,100,75,239,79.66666667,0,2024-04-01
469,Colin,71,69,91,231,77,0,2024-04-09
470,Heinrik,54,97,80,231,77,0,2024-04-01
471,Merwyn,77,83,69,229,76.33333333,0,2024-04-07
472,Susette,80,63,63,206,68.66666667,0,2024-04-02
473,Red,94,56,55,205,68.33333333,0,2024-04-01
474,Hans,64,96,56,216,72,0,2024-04-08
475,Caitrin,72,61,60,193,64.33333333,0,2024-04-04
476,Sayre,79,54,82,215,71.66666667,0,2024-04-08
477,Flin,99,71,91,261,87,0,2024-04-09
478,Wes,82,79,76,237,79,0,2024-04-08
479,Romona,66,53,93,212,70.66666667,0,2024-04-05
480,Mufi,57,94,63,214,71.33333333,0,2024-04-06
481,Gunar,55,70,72,197,65.66666667,0,2024-04-08
482,Kassi,64,55,73,192,64,0,2024-04-03
483,Melanie,54,53,71,178,59.33333333,0,2024-04-04
484,Sascha,71,81,63,215,71.66666667,0,2024-04-05
485,Allis,81,84,76,241,80.33333333,0,2024-04-06
486,Oliviero,65,90,75,230,76.66666667,0,2024-04-03
